Region,countryname
Northern Africa,Algeria
Southern Africa,Angola
Western Africa,Benin
Southern Africa,Botswana
Western Africa,Burkina Faso
Eastern Africa,Burundi
Central Africa,Cameroon
Central Africa,Central African Republic
Central Africa,Chad
Western Africa,Cote d'Ivoire
Central Africa,Democratic Republic of the Congo
Eastern Africa,Djibouti
Northern Africa,Egypt
Western Africa,Equatorial Guinea
Eastern Africa,Eritrea
Eastern Africa,Ethiopia
Western Africa,Gabon
Western Africa,Gambia
Western Africa,Ghana
Western Africa,Guinea
Western Africa,Guinea-Bissau
Eastern Africa,Kenya
Southern Africa,Lesotho
Western Africa,Liberia
Northern Africa,Libya
Eastern Africa,Madagascar
Southern Africa,Malawi
Western Africa,Mali
Western Africa,Mauritania
Northern Africa,Morocco
Southern Africa,Mozambique
Southern Africa,Namibia
Western Africa,Niger
Western Africa,Nigeria
Central Africa,Republic of Congo
Eastern Africa,Rwanda
Western Africa,Senegal
Western Africa,Sierra Leone
Southern Africa,South Africa
Northern Africa,Sudan
Southern Africa,Swaziland
Eastern Africa,Tanzania
Western Africa,Togo
Northern Africa,Tunisia
Eastern Africa,Uganda
Southern Africa,Zambia
Southern Africa,Zimbabwe
