mines,aluminum_mine,asbestos_mine,bariumbarite_mine,beryllium_mine,chromium_mine,copper_mine,diamond_mine,gold_mine,iron_mine,lead_mine,manganese_mine,nickel_mine,phosphorusphosphates_mine,platinum_mine,ree_mine,silver_mine,tin_mine,tungsten_mine
224,0,0,18,0,0,20,0,3,32,62,3,0,6,2,0,0,2,2
13,1,0,0,0,0,3,1,0,4,0,0,0,2,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,1,0,0,0,8,3,1,0,0,6,6,0,0,0,0,0,0
13,1,0,0,0,0,0,0,4,0,0,2,2,1,0,0,0,0,0
9,0,0,0,0,1,3,0,0,0,0,0,8,0,1,1,0,0,0
11,9,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,6,1,0,11,2,0,0,0,0,0,0
116,1,0,0,0,0,80,0,8,0,0,2,1,1,0,0,0,13,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,3,0,0,0,1,9,0,13,21,7,4,0,22,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
27,0,0,0,0,0,1,0,4,0,0,0,1,1,3,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,16,0,0,0,1,1,1,26,1,0,24,1,0,2,0,1,0,0
30,18,0,0,0,0,0,1,7,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,4,0,2,3,0,0,0,2,1,0,0
2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
57,6,0,0,5,9,0,0,7,0,0,0,8,0,2,0,0,0,0
12,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
23,1,0,0,0,0,0,1,4,0,0,3,0,2,0,0,0,0,0
9,0,0,0,0,0,1,0,1,6,0,0,0,0,0,1,0,0,0
106,1,0,4,0,0,4,0,0,3,20,23,1,34,0,0,10,0,0
28,4,2,0,0,0,1,0,2,1,0,2,0,0,0,1,0,0,0
70,0,0,0,1,0,22,0,3,0,8,1,0,1,0,2,1,6,4
18,0,0,0,0,0,0,0,3,1,0,1,0,1,1,0,0,5,0
15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0
11,0,0,0,0,0,2,0,1,0,4,2,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
12,1,0,0,0,0,0,0,1,1,0,0,0,9,0,0,0,0,0
22,5,0,0,0,0,0,1,0,1,0,0,0,0,9,0,0,0,0
693,3,24,0,2,74,59,15,270,23,11,32,33,16,71,2,20,12,2
19,0,1,1,0,6,2,0,4,1,0,1,0,1,0,0,0,0,1
9,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65,1,0,0,0,1,12,3,4,3,0,2,2,3,1,0,1,1,0
5,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
64,0,0,0,0,0,0,0,0,4,19,0,0,37,0,0,0,0,0
27,0,0,0,4,2,2,0,1,0,0,0,1,1,1,0,0,0,2
113,0,0,0,0,0,45,1,1,0,7,0,3,0,0,0,1,1,0
257,0,9,0,0,62,23,1,52,4,0,0,27,4,8,0,2,4,2
